"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"187","So proud of my son for continuing to refuse to be defined by labels and proving autism is not a definition. He just… https://t.co/6BzehLXW2d",FALSE,2,NA,2019-03-02 16:33:32,TRUE,NA,"1101883246709739520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","leachmanjohn",0,FALSE,FALSE,NA,NA
"188","efeito do pó de flu isso aí https://t.co/tqfuoObpQA",FALSE,0,NA,2019-03-02 16:33:27,FALSE,NA,"1101883223695605761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","unbrokenmills",0,FALSE,FALSE,NA,NA
"189","@AKUT_Dernegi Halat,jumar, sekizli vb vb ...😊👍",FALSE,0,"AKUT_Dernegi",2019-03-02 16:33:26,FALSE,"1101882804756013057","1101883220180811776","112512937","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","flu_84",0,FALSE,FALSE,NA,NA
"190","RT @TheVampsBrad: Had flu for the past week and I’m about two breaking bads away from completing Netflix.",FALSE,0,NA,2019-03-02 16:33:24,FALSE,NA,"1101883212106813442",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","slv_esther",815,TRUE,FALSE,NA,NA
"191","@editingemily Granddaughter just got over the flu. Poor (single) mommy. Get well soon.",FALSE,0,"editingemily",2019-03-02 16:33:23,FALSE,"1101840619746422784","1101883209036587009","1066151600","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Functoid1",0,FALSE,FALSE,NA,NA
"192","@seolendipity oh my god yes. and what's even funnier is that my nose can 'whistle' when i have the flu. it's bc the… https://t.co/81LU7ZLsfe",FALSE,0,"seolendipity",2019-03-02 16:33:23,TRUE,"1101551395604295680","1101883207497080832","877424953347366913","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JOY0fARC",0,FALSE,FALSE,NA,NA
"193","Sore throat &amp; flu argh 😷",FALSE,0,NA,2019-03-02 16:33:11,FALSE,NA,"1101883158792790017",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tasyalams",0,FALSE,FALSE,NA,NA
"194","RT @TheVampsBrad: Had flu for the past week and I’m about two breaking bads away from completing Netflix.",FALSE,0,NA,2019-03-02 16:33:07,FALSE,NA,"1101883141822636032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","voguesonme",815,TRUE,FALSE,NA,NA
"195","First time downstairs since the flu 😷 struck at 2:00 Wednesday morning and this cutie decides to lay down right on… https://t.co/yqRF8o8kb2",FALSE,0,NA,2019-03-02 16:33:06,TRUE,NA,"1101883138509336576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ksal1162",0,FALSE,FALSE,NA,NA
"196","RT @Boxmenot: @ViraBurnayeva I found three flu deaths compensated in 2016/2017 just from one vaccine injury law firm.",FALSE,0,NA,2019-03-02 16:33:00,FALSE,NA,"1101883110000656386",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","pepsiholic1990",2,TRUE,FALSE,NA,NA
"197","RT @varussic: my aesthetic is having tattoos but being nervous to get a flu shot",FALSE,0,NA,2019-03-02 16:32:56,FALSE,NA,"1101883094490062849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MadisonNovotny",4,TRUE,FALSE,NA,NA
